"","GRVI","NDVI","GNDVI","BNDVI","NDRE","CIgreen","CIRE","MSR","NDI","ARI","mARI","RGBVI","RTVI"
"W1-001",-0.0209932538976198,0.253781235024453,0.285691960192933,0.132279721136162,-0.0765168129514808,0.799912486691591,-0.142156280386732,0.415471675508922,0.318461589825186,0.147523446963867,0.92353261381545,-0.173119551334013,-128.676092157413
"W1-002",0.0049108497245511,0.283408922431954,0.303293101587253,0.206076192436151,-0.0624500836042097,0.870647620335673,-0.117558621469268,0.473470383770807,0.338773365947939,0.158210855225422,0.9772927640181,-0.105508295630756,-121.486109509313
"W1-003",-0.0303621446736385,0.254929135262158,0.311144680629226,0.105448650203182,-0.0655169273605071,0.903375937071031,-0.122976734819478,0.417673024902328,0.321426396275136,0.166890018540201,1.05506748616427,-0.232284173472747,-115.290384781071
"W1-004",0.0718897511303362,0.33106962733843,0.297828182484606,0.226476349965861,-0.039268891747296,0.848305777517027,-0.0755702171751258,0.572458350924379,0.361883327043383,0.152335061023299,0.926504284772296,0.0239674462216171,-78.8187717853885
"W1-005",0.000789732362936647,0.265014608454934,0.293849142044557,0.0764329829133796,-0.0611649318184677,0.832256453247801,-0.115278797102848,0.437165079276826,0.316338077682085,0.135130870761469,0.943937636289128,-0.223139800446685,-115.861538877562
"W1-006",0.0634301120189275,0.301786293015893,0.273571493063064,0.0900830565409397,-0.0582970838420609,0.753195917975764,-0.110171491034291,0.510764051308964,0.355021454686675,0.141227996606459,0.863848754363134,-0.12255165048873,-102.068817379409
"W1-007",0.0492543164563929,0.263942949094643,0.245499567997061,0.0612724041940944,-0.0591812193695667,0.650760583688578,-0.111748978697486,0.435080205107414,0.318327290682994,0.110036313218368,0.75805513464614,-0.118424416723864,-104.663077511482
"W1-008",-0.000242644409833211,0.247533055679622,0.259793461173998,0.0311057990750611,-0.0793626915631274,0.701949352913049,-0.147054675387981,0.403556630977294,0.320346174033307,0.127802030916639,0.831243892277957,-0.194324324254178,-144.275600784035
"W1-009",0.0353920597549744,0.289449746838036,0.285179779860777,0.19626607680152,-0.0453140381076218,0.797906303784282,-0.0866993773271348,0.485613523543896,0.323347124858227,0.127425583931231,0.854438522051225,-0.0570704102935061,-92.741233585602
"W1-010",0.0238557445819577,0.264539334406875,0.263883406069805,0.152795912098263,-0.0693880768466554,0.716960895178049,-0.129771555058408,0.436240044632649,0.320152096260113,0.132973221131764,0.814169292005314,-0.108580350995504,-121.042749804444
"W1-011",-0.0238184457702895,0.2711186558055,0.304586942221785,0.145118557106418,-0.0641366082850831,0.875988561948821,-0.120542057825532,0.449103027947543,0.335847973611683,0.135053853851606,0.993892095629185,-0.210773914802001,-137.33476115194
"W1-012",0.0515464643729571,0.323449175535892,0.299029602806215,0.205749661553947,-0.0524504506749209,0.853187735126366,-0.0996730072003593,0.55612296892228,0.370020067112055,0.140745885066629,0.921023031228015,-0.0337336216383323,-105.310585997322
"W1-013",0.0165040407166526,0.296417109126308,0.302413728145536,0.153323655042668,-0.060439464845734,0.867028897634694,-0.113989467290387,0.499759007193914,0.35967900709945,0.142619191524416,0.974209060963476,-0.127537857045665,-120.1102537197
"W1-014",0.0466971172358839,0.331703824322532,0.315337613771714,0.181150836563681,-0.0626148461341803,0.921147766007324,-0.117850501264827,0.573827012588603,0.384539601762908,0.159025311314464,1.0590409680461,-0.0909291270431214,-128.042906329299
"W1-015",-0.0153229037917759,0.238786376153392,0.248131900422363,0.0672922666903751,-0.0765019046870861,0.660041037947352,-0.142130551472314,0.387053738212487,0.319499984726048,0.117877943247492,0.823222637590697,-0.225329062687128,-147.944449231074
"W1-016",0.0594517215430295,0.27802018585283,0.246830561412061,0.0590391436242213,-0.104379408704741,0.655444973643183,-0.189028168910105,0.46273121746276,0.3696225525099,0.146398925867462,0.844436297507038,-0.100255925966919,-154.032671882131
"W1-017",0.131481027633762,0.342997170896831,0.256303861374442,0.0711645573065717,-0.0597051092374373,0.689275683355206,-0.112682493839347,0.598463666551124,0.402444734218218,0.136462338580343,0.820623062329593,-0.026102906708735,-101.78992818162
"W1-018",0.161350418350789,0.323491458393746,0.196915270996534,0.0572537541981609,-0.0452121605001308,0.490397249218979,-0.0865128864909052,0.556213049151571,0.370236878923567,0.0930000416724822,0.563934999431353,0.0391171340106762,-78.3090420598238
"W1-019",0.156951740538211,0.276891575431486,0.135138418049317,0.0167451366989448,-0.0345218475534741,0.312508849209538,-0.0667394570803411,0.46049334788274,0.313659341974043,0.0701381795382505,0.386248858297474,0.0596399384011107,-56.0837307888144
"W1-020",0.165086728155711,0.291322623376724,0.139017304906409,-0.0154094717345885,-0.0570101912060381,0.322927059274514,-0.107870655704823,0.489401082424876,0.33477743821454,0.0727127061322663,0.450009108799208,0.01150653652962,-99.8920848814314
"W1-021",0.100838185443099,0.296481249701359,0.20422347988158,0.0548551066708377,-0.071178795661727,0.513268423278409,-0.132898066970707,0.499889934350138,0.351480754695777,0.102551599278293,0.648790123351541,-0.067072809462261,-113.703680488512
"W1-022",0.0342195584902385,0.245347411981917,0.227267748261513,0.0523347095321953,-0.0727837052702744,0.588225619476053,-0.135691263458535,0.399413824009033,0.311656992925166,0.107061606266866,0.739999163426277,-0.144291420411603,-138.321759642241
"W1-023",-0.0773603243024708,0.24933445229296,0.332141352661703,0.117551597775385,-0.0821960915977457,0.994645660381665,-0.151906095828515,0.406980918840878,0.333846874017191,0.15676543202913,1.16798414202062,-0.283004383282978,-170.520627279548
"W1-024",-0.150120282485612,0.217672113766029,0.368657015103635,0.0567059335265296,-0.0722218479911382,1.17000380514801,-0.134713731617566,0.348040828080945,0.295164894402999,0.173962134887855,1.32641943462028,-0.463836214258802,-159.656123909892
"W1-025",-0.00162708285570067,0.240771295320266,0.255402371709495,0.124780395687684,-0.0857517309815028,0.686014464740815,-0.157958267133472,0.390780961705074,0.31944309580262,0.135875691536753,0.841720778398526,-0.130086687288746,-145.576925220387
"W1-026",0.019740287349055,0.258599080171968,0.279789800931072,0.209817059170353,-0.0797696249676331,0.77696723575262,-0.147752300383421,0.424732442126866,0.32942207333676,0.15566089386945,0.915279122418678,-0.0738626388394623,-125.82908128117
"W1-027",-0.0574314891794864,0.253760787140665,0.318074761753031,0.209442053815869,-0.0971076056224353,0.932872825093579,-0.17702476060649,0.415432507960426,0.357932258712008,0.158371492756181,1.10964446919512,-0.163085417779911,-174.062034885966
"W1-028",0.0281901114411642,0.275534440952461,0.278752686506378,0.194373077797096,-0.0754734956060611,0.77297393360438,-0.140353985317936,0.457806566740192,0.349965965258098,0.138210150647831,0.901589387082392,-0.0377284696380914,-141.61838308061
"W1-029",-0.0393223424758105,0.248108435818407,0.297458546543096,0.173154692977788,-0.0680214307799521,0.846807103209157,-0.127378400506959,0.404649420194727,0.319210520546347,0.155510214977853,0.992845819381192,-0.150788375229878,-124.2885098894
"W1-030",0.00894531578668735,0.270512373434629,0.304046399445436,0.203961801779414,-0.057360053131799,0.873756990838989,-0.108496727902721,0.447912504061797,0.329634208340506,0.156242075388789,0.997632614772146,-0.0814764752900396,-105.222976213834
"W1-031",-0.0168989614606072,0.267765821806206,0.324135726668409,0.155696882820435,-0.0467766207274868,0.959174919752646,-0.0893726672098353,0.442532474776524,0.318619898486843,0.163456112072521,1.06659126143305,-0.117814835398831,-100.954720860474
"W1-032",-0.0633875155382718,0.243933328336586,0.313207641097668,0.102133986263223,-0.061996434741959,0.912088310354103,-0.116754506350151,0.396740094322172,0.300485582182038,0.149776937939724,1.02663550744626,-0.26777806778215,-122.036526387308
"W1-033",-0.0608043678360892,0.256981081714063,0.340822083376438,0.12237768453691,-0.0840098206187242,1.0340822250909,-0.154998264814194,0.421615156586633,0.337712831153756,0.17084522024396,1.19013787274344,-0.28915557561706,-157.835921087917
"W1-034",-0.0961314777791498,0.250819331318019,0.359517952463849,0.123002047054953,-0.0831424753931038,1.12264823245971,-0.153519132064048,0.409810239553205,0.324507256082071,0.190717649253407,1.27464638903298,-0.337530339899901,-160.59116096272
"W1-035",-0.0112188043326314,0.2750641584408,0.32028522113558,0.178225780715016,-0.0736951535522254,0.942410722812841,-0.137273677398739,0.456877070834833,0.345878416492842,0.166824212419656,1.050155491034,-0.140578541574718,-133.47143761517
"W1-036",-0.0609819615503135,0.22480154040452,0.291277159788165,0.0606709513685942,-0.0796281895551466,0.822007046919021,-0.147510219314107,0.361083771109198,0.301494333583717,0.143114174067317,0.958566001878274,-0.287512734601924,-160.460605048158
"W1-037",-0.0636678889801213,0.26464091301021,0.343102852991905,0.176553257144464,-0.0678139118176592,1.04461666352062,-0.127014475213616,0.436437693858619,0.329390850507823,0.20399657063725,1.16647912191697,-0.208816405499646,-124.305932439994
"W1-038",-0.0131801445297907,0.258729676197133,0.327247692521067,0.166011379626014,-0.0752548485512108,0.972862341408808,-0.139975836709983,0.424984348444873,0.331881243100091,0.17803972261753,1.11337286376548,-0.166712509453557,-135.221065816673
"W1-039",-0.00731132148408373,0.245555617040637,0.284366981345024,0.169427892630677,-0.0484463651454354,0.794728510094429,-0.0924155336047452,0.399807793942024,0.297520621278963,0.146014159094095,0.849670262845694,-0.107064039832212,-77.8362113695845
"W1-040",-0.0146596098669236,0.25356193759811,0.287137106117253,0.10876155472719,-0.0454744548790694,0.805588588159793,-0.0869929526577089,0.415051675309102,0.302353706218241,0.146138910281481,0.904182745282251,-0.172825152495639,-96.376764385844
