"","variety","treatment","flower","freshWeight","GRVI","NDVI","GNDVI","BNDVI","NDRE","CIgreen","CIRE","MSR","NDI","ARI","mARI","RGBVI","RTVI"
"W1-001","GmWMC109","W1",0,138.005,0.213368249061698,0.510567946588726,0.330456097859752,0.443549889195546,-0.00781464439453277,0.987108080003192,-0.0155080985139436,1.03210133550779,0.52084061335884,0.387801408509908,1.02284731915398,0.339084877943672,-14.9096328455252
"W1-002","GmWMC020","W1",0,159.68,0.225626690360403,0.552659300727355,0.373348755252024,0.512833120429171,0.0227536143047138,1.19156790454541,0.0465667984796119,1.1685660798408,0.543961197505859,0.426147283544439,1.14964192962969,0.370035680795974,-2.47796791387319
"W1-003","GmJMC033","W1",0,98.37,0.161857506510155,0.416116458062814,0.290044139922004,0.399972310811023,-0.0421729515598641,0.817076543012518,-0.0809327309766428,0.770134845772461,0.479024191111374,0.32012868323762,0.912403162518074,0.268420474047412,-37.7554442294612
"W1-004","GmWMC140","W1",1,115.525,0.189430271050313,0.462442258601746,0.311923866439423,0.437680201977117,-0.0648883367557892,0.906655095927584,-0.121868809181389,0.891989929411126,0.508991742991307,0.372193035359626,1.0017969271983,0.323425359192966,-44.2844828245573
"W1-005","GmJMC057","W1",0,96.565,0.187719734440686,0.424201308001759,0.25233033004233,0.381114584994526,-0.0620559518368069,0.674978109133719,-0.116860042504319,0.790590632405648,0.477650112426213,0.295504622134903,0.804632185807292,0.313539085307199,-43.1428654596108
"W1-006","GmWMC120","W1",0,183.24,0.202658908821892,0.526328270669835,0.366215774341274,0.465883146310128,-0.00452145639908704,1.15564811970713,-0.00900220969952226,1.08151603592249,0.526561814080697,0.463813820695407,1.15414810618701,0.306970629781305,-11.8949649947276
"W1-007","GmWMC132","W1",0,202.65,0.196571743765907,0.497980746271849,0.343450209721954,0.440547063141527,0.0193297408791384,1.04622746062193,0.0394214961560401,0.993956464932989,0.489851697389429,0.389184118082046,0.988050655667194,0.290553755786817,-2.09937161717711
"W1-008","GmJMC095","W1",0,168.385,0.217340717427386,0.616205538727476,0.459667668632483,0.588872275966008,0.0771776422469722,1.70142574096619,0.167264352881288,1.40666682134623,0.557769024576565,0.544142497099586,1.47027430453839,0.37630625622855,21.1852714931076
"W1-009","GmJMC090","W1",0,183.145,0.20941428618655,0.618997114459091,0.474110303517962,0.582366924900846,0.0795110908432992,1.80307888399238,0.172758389704321,1.41820656005498,0.556201700224697,0.578242107268279,1.54898968902297,0.346991274681219,21.5433846097065
"W1-010","GmWMC142","W1",0,62.175,0.206114102340328,0.370949594072336,0.183350166988653,0.295368392082361,-0.092190078468554,0.449030073388099,-0.168816911834827,0.661435014395357,0.45405620960577,0.200027412481744,0.614695239968099,0.302269978746656,-67.1941319588336
"W1-011","GmJMC104","W1",0,178.105,0.228844137736667,0.617744199335438,0.445378751556612,0.581140346793677,0.0518403576663077,1.60606450909201,0.109349428833975,1.41301454274115,0.561131667043389,0.532344548713104,1.4055891272301,0.385491153392535,9.77639859926356
"W1-012","GmWMC010","W1",0,150.9,0.194378221113123,0.45904844840652,0.297186760468836,0.382338344079252,0.00447724379117488,0.845706383483054,0.00899477578203078,0.882661809973663,0.463726005663273,0.328810158067928,0.815446193349327,0.282587314003015,-9.5946010603612
"W1-013","GmWMC035","W1",0,150.435,0.228081743626205,0.556089831461574,0.370959859964397,0.504848414731781,0.0309743804104408,1.17944734024542,0.063928922221025,1.18035446927382,0.530694514032295,0.408293847129979,1.0875976549752,0.378606439985626,2.56134831746856
"W1-014","GmWMC157","W1",1,79.165,0.253814956059079,0.425824573730317,0.199288669128583,0.352276114303238,-0.155156881411042,0.497779127428551,-0.268633434105856,0.794737140126909,0.545817233065808,0.286931692325044,0.72820856461315,0.394679294025589,-97.7477829539195
"W1-015","GmWMC185","W1",1,267.465,0.221725640634022,0.592348563320848,0.421087115301884,0.553696213779259,0.0465628028846511,1.4547512295679,0.0976735629571838,1.31204234387276,0.551560945405502,0.509594527774408,1.298832880843,0.377893460954451,7.5931164370026
"W1-016","GmWMC124","W1",0,242.185,0.225227079869029,0.594438207656261,0.417871335375996,0.544326881939836,-0.00625833626933489,1.43566658290534,-0.0124388261816293,1.32005855800927,0.580679138114283,0.54278563815452,1.37376826146799,0.363569516464754,-13.1670569654455
"W1-017","GmJMC034","W1",0,203.21,0.201098994861952,0.607891485317695,0.462412694722926,0.561120428053194,0.0576570941093639,1.7203259458837,0.122369667663324,1.37289689104823,0.560827780926453,0.540782864482924,1.54205890466852,0.337312386300799,12.4141411767366
"W1-018","GmWMC135","W1",0,278.955,0.222291291363654,0.581880824107677,0.406708533995195,0.519878404521202,0.00973537782867437,1.37102438615526,0.0196621743536145,1.27262075032161,0.566012432262526,0.524224317845917,1.32043696120994,0.345718741864453,-5.97219409494373
"W1-019","GmWMC066","W1",0,213.48,0.205164699016004,0.612082776026372,0.467330130293208,0.559439266262521,0.0593810494220325,1.75467078905908,0.126259521744795,1.38981061659439,0.558847133728414,0.577155711984515,1.53175864550644,0.327609977855285,12.5240019120334
"W1-020","C1290","W1",0,129.07,0.275297424741367,0.640708284741218,0.426546707414201,0.476007868141199,-0.0603539515977649,1.4876423736081,-0.113837344118828,1.51165170235982,0.641086761187549,0.535897040573972,1.5057749960032,0.353821865827899,-40.1164833323524
"W1-021","GmWMC178","W1",0,281.015,0.210020666163786,0.583382928627827,0.420762331432558,0.53603092172409,0.0329131276661014,1.45281411850572,0.0680665379867502,1.27820403244185,0.549829707616768,0.528980600867414,1.34735304131074,0.330027206537693,1.98764232573238
"W1-022","GmJMC101","W1",0,238.79,0.224146120399675,0.642063434834337,0.483739742766372,0.588116071070334,0.0356772510157415,1.8740150537032,0.0739944360391454,1.51771389397194,0.579037493173807,0.605933540155826,1.59418690255162,0.378979785415749,2.84888258645814
"W1-023","GmWMC084","W1",0,140.85,0.224818312810535,0.549126097514833,0.370589125580615,0.471088018532888,-0.0397344282126176,1.17757458805418,-0.076431879400058,1.15653700458899,0.556031085682833,0.442697871929089,1.19966348461955,0.344395867457505,-27.7284311502175
