"","variety","treatment","flower","freshWeight","GRVI","NDVI","GNDVI","BNDVI","NDRE","CIgreen","CIRE","MSR","NDI","ARI","mARI","RGBVI","RTVI"
"W1-001","GmJMC121","W1",1,86.94,0.114624597111127,0.371089409129595,0.292253193118727,0.29407874594202,-0.00884242829899358,0.825869337105336,-0.0175298501549004,0.661757852594924,0.386302946629622,0.14949635674193,0.863104474536399,0.11866328782623,-38.6836895250246
"W1-002","GmJMC037","W1",0,104.085,0.138797629618884,0.397228865709883,0.293770838142589,0.332367263273149,0.028580732820882,0.831941964474988,0.0588432488144424,0.72356837140241,0.38606056672638,0.132649292507289,0.781070020845629,0.197275151307238,5.46127148700669
"W1-003","GmJMC067","W1",0,122.895,0.145040190427752,0.396820427272279,0.278662365243276,0.261819102209453,-0.00132573968055279,0.772626719628338,-0.00264796884373653,0.722579615397955,0.419903874027431,0.159696695699264,0.839530920831864,0.130043428883352,-26.2011048772815
"W1-004","GmJMC091","W1",1,204.945,0.207336940645151,0.565707561581679,0.421663567480413,0.501789100355936,0.0636621512529062,1.45819472462901,0.135981155387646,1.21399206406981,0.544173028103909,0.262733288151966,1.36518902570155,0.320217593704116,36.5316468724951
"W1-005","GmJMC039","W1",0,88.46,0.092116917123852,0.377361196497153,0.315072931223724,0.327615750642803,0.0126317195391657,0.920018993426111,0.0255866433578572,0.676322984226064,0.378874540367726,0.162084077528627,0.891972233858747,0.122976429736144,-11.6250978724884
"W1-006","GmJMC130","W1",0,173.92,0.114753218201089,0.406167327002862,0.358512376843643,0.363107388248935,0.0348228552686304,1.11775306096848,0.0721584750658955,0.745397512328978,0.399027922528827,0.190980752008778,1.08892122429076,0.155342517227198,11.0295196161979
"W1-007","GmJMC043","W1",0,163.345,0.118741265214084,0.413920503825168,0.348625362535963,0.376269267338425,0.024427875192827,1.07042967133815,0.0500790785792519,0.764634120638516,0.41202815051236,0.194466047636169,1.05975686947758,0.186594152171715,-2.23137193246099
"W1-008","GmJMC116","W1",1,145.92,0.082960169324812,0.352117550956887,0.342539925600468,0.318870319169402,5.61223599989401e-05,1.04200981607382,0.000112251019789955,0.618663597762474,0.372758423587648,0.184254009940107,1.0818924760033,0.102283519515846,-29.4618049208175
"W1-009","GmJMC126","W1",1,189.27,0.167881651149886,0.537214969566029,0.434121774333211,0.491428771832139,0.0610303551807396,1.53432931200586,0.129994309224953,1.11679497816171,0.499798639824139,0.259092922207236,1.40106980229021,0.282691418582977,35.2296047245137
"W1-010","GmJMC028","W1",1,143.18,0.116853991680873,0.389713863132874,0.319573662953517,0.343056166885577,0.0230376135899265,0.939333607633962,0.0471617206770467,0.705495260495757,0.379105099287194,0.152486039888916,0.901642207197167,0.178417449988464,-0.470592309620073
"W1-011","GmWMC176","W1",1,118.77,0.150157166801277,0.428259337016471,0.338946320308389,0.388685852308024,0.0167107054377765,1.02547296239594,0.0339893977628167,0.80098115383511,0.422396800044289,0.169061827896867,0.997325460418833,0.261486671309882,-9.63095093594203
"W1-012","GmWMC119","W1",0,162.445,0.188893489912938,0.56912074693823,0.438738152281072,0.569708153260694,0.0748042838978693,1.56339916587662,0.161704777910173,1.22614441432038,0.521955660136668,0.314480001469193,1.44785377579266,0.368365744948837,39.1564311693311
"W1-013","GmWMC132","W1",0,191.445,0.156039151928145,0.520576845393161,0.425204514852737,0.479938396695045,0.0661087147851369,1.47949845186613,0.141576900014565,1.06326212162706,0.48556306550999,0.258294976020765,1.36771039491184,0.264764282496999,35.6356635131755
"W1-014","GmWMC011","W1",0,204.13,0.110290882316935,0.449659527947347,0.380067658175082,0.424404964959066,0.0418166636725865,1.2261585104408,0.0872832239450098,0.857201829111863,0.41507502852725,0.195907127418913,1.1612596670931,0.195646513167525,16.8475371718237
"W1-015","GmWMC140","W1",1,111.45,0.0572129287650958,0.337997249175641,0.32909337287452,0.276162483077675,-0.0247080365197722,0.981040757592544,-0.048224539359891,0.587487007606385,0.371244173870713,0.170682168598406,1.0222616875088,0.0262388132394282,-58.2857909159752
"W1-016","GmJMC078","W1",1,92.045,0.0980440409655555,0.381784385181054,0.341876120193854,0.377033750372626,0.0205995177667429,1.03894156735707,0.0420655665696285,0.686693876975318,0.394313995061136,0.208742486273316,1.04030114477227,0.170869138953685,-3.0127788851648
"W1-017","GmWMC042","W1",0,74.675,0.170834730472052,0.457909259610946,0.355274421853211,0.355928868658902,0.011059371649218,1.10209501293077,0.0223661042017119,0.879545794847661,0.472245819895176,0.208168782752135,1.11695354768105,0.20290723975388,-12.3062208119228
"W1-018","GmWMC084","W1",1,116.61,0.184613852270496,0.437468067984556,0.304840429325795,0.336849784914498,0.039527798845383,0.877037311574835,0.0823090959195645,0.824874298534746,0.424753698299878,0.150765281859084,0.790287540912326,0.214205094086867,17.3871506569147
"W1-019","GmJMC058","W1",1,136.18,0.196487989074406,0.425746669990447,0.283220008680377,0.276876206330828,0.0401950976672077,0.790256458356091,0.0837568084295341,0.794537677333892,0.404974115005183,0.122010381681694,0.713500064582332,0.194424706591664,20.425662041751
"W1-020","GmWMC086","W1",0,46.605,0.168933717553856,0.29919665993529,0.168321332219752,0.132579850602342,0.0162725854472763,0.404774918655839,0.033083549182032,0.505444713401912,0.299923177321354,0.067852381890098,0.37774992751002,0.139876976808263,2.14481555578501
"W1-021","GmJMC021","W1",0,107.175,0.161783799474186,0.392092670875471,0.287752357266746,0.28796330586285,0.0492722455985681,0.808012101416003,0.103651640273381,0.711189002901835,0.379667389007569,0.132897182805768,0.706581181303684,0.16617864973189,23.7629413366042
"W1-022","GmWMC171","W1",1,118.995,0.145960012011124,0.35967998104564,0.24831586065059,0.214929857417769,-0.0132524110982373,0.660692031803437,-0.0261581634607184,0.635671476715912,0.379335983736132,0.119088140701156,0.698148715620315,0.12838184670198,-39.8327185091884
"W1-023","GmWMC125","W1",1,111.225,0.102750763451786,0.363045354950222,0.294922953659978,0.310354873227978,0.00574524875923678,0.836569436463408,0.0115568947537179,0.643311963235631,0.381913711816399,0.179467718484015,0.877549385262409,0.142236824218424,-15.7407087340272
"W1-024","GmWMC155","W1",1,47.435,0.0192315411615958,0.274406248189281,0.270190463730522,0.308521610117953,-0.0187278516907993,0.740441035617709,-0.0367670132205748,0.455577469512164,0.294815845105197,0.183052433916217,0.727183916527228,0.112667840889431,-31.5330465344554
"W1-025","GmWMC138","W1",1,66.575,0.0696223361808365,0.359819793312807,0.317412694392571,0.353225480924424,-0.036340354774382,0.93002812884892,-0.0701320836026231,0.63598801884413,0.404401432106116,0.177158760921732,1.00274448888063,0.103738146005281,-76.4894675811094
"W1-026","5002T","W1",1,119.49,0.0752678947985224,0.356629377022832,0.328054591653302,0.342942695938646,0.00992020341325661,0.976432368101169,0.0200392700534893,0.628784038664589,0.358090801559391,0.164010873306824,0.949496626237601,0.130688565800421,-13.2700276173412
"W1-027","GmWMC165","W1",1,116.215,0.0894723759638387,0.340299447088498,0.306961828660874,0.312513907606273,0.0135806101743263,0.885843929975014,0.0275351646863438,0.592519731356816,0.342867007804046,0.151351605518515,0.840753011348776,0.157581760115272,-8.92689087343948
"W1-028","GmWMC124","W1",1,134.825,0.0858101897339164,0.35092296984741,0.311770978679947,0.305295991091346,0.0158686808667122,0.906009415076359,0.0322491126585055,0.61599711551896,0.358715687743354,0.15713276294311,0.893828139371627,0.100420252801809,-8.89529936252507
"W1-029","GmJMC060","W1",1,167.705,0.0930007197167919,0.366270295286865,0.303832796821495,0.304093154575757,-0.00265241095671356,0.872873055307058,-0.00529078856786003,0.650675814374891,0.373860620318303,0.159815999329764,0.89088343996045,0.129679509115007,-27.7085627844265
"W1-030","GmJMC105","W1",1,151.25,0.100600477795368,0.391454995137736,0.338839639552549,0.376076491680459,0.0411362624275022,1.02498473841727,0.0858021026671518,0.709660260114366,0.366722727129831,0.197467639029204,0.963972955900051,0.162875542945693,15.5256802592846
"W1-031","GmJMC128","W1",0,90.095,0.121848542798401,0.408313358056035,0.333026134071926,0.364395794127325,0.0260835222230338,0.998618320955264,0.0535641890033987,0.750693587123615,0.398361264841522,0.180537669724641,0.96684291106789,0.170098913268542,2.11142451086687
"W1-032","GmJMC131","W1",1,150.68,0.0860626917673857,0.362562587802425,0.302612464560757,0.356902754064514,0.0152021306623647,0.867845922626534,0.030873605915881,0.642213175433128,0.352522641708255,0.159559988251087,0.829106028066166,0.150225059659251,-8.51448253012601
"W1-033","GmWMC024","W1",1,47.105,0.0759682843355061,0.281848778079072,0.238447888372712,0.215478040880049,-0.0151978658334806,0.62621555303207,-0.0299406969714285,0.470352224446548,0.299377154054235,0.124986013938523,0.658042792512655,0.0525324830359944,-31.5545377358884
"W1-034","GmWMC144","W1",1,23.575,0.0386684065772857,0.292681671042565,0.27409971032278,0.215843188606943,-0.0178965368725955,0.75520316336951,-0.0351637426827099,0.492156369937252,0.317130896080204,0.178731553274404,0.766905317884428,-0.0377454501784876,-44.0581466246151
"W1-035","GmJMC033","W1",0,52.58,0.0627284743294462,0.296078153982689,0.270176822692661,0.204126975786304,-0.0455303620149398,0.740390395819013,-0.0870952401328569,0.49906740437779,0.354383661950943,0.139811456971728,0.821609500346308,-0.0166991407579517,-82.4327774297771
"W1-036","GmWMC136","W1",1,96.355,0.0470252031195219,0.266351570329351,0.245566085647507,0.174163120575362,-0.0530455987638136,0.650994345145581,-0.100747007601052,0.43977086883621,0.327360415096413,0.13642348725973,0.765380403401799,-0.0158636558704498,-94.9405068076975
"W1-037","GmWMC010","W1",0,28.29,0.0135013311591918,0.310442190788279,0.324306870786259,0.353546739816131,-0.0249346508976259,0.959923582471098,-0.0486560789218974,0.528701352329452,0.346653401991431,0.218289367656802,0.988312833657957,0.0552806371224314,-50.210192825896
"W1-038","GmWMC045","W1",0,54.065,-0.00250445378499647,0.296105872292789,0.322987340520175,0.2387802779248,-0.0683507453552372,0.954154753069772,-0.127955627727132,0.499123882486051,0.376712143564343,0.196050935660531,1.07195565249859,-0.0753704985544463,-122.497232521555
"W1-039","GmJMC003","W1",0,21.8,-0.0302886704074274,0.2673053450312,0.315694694928524,0.300612780909466,-0.0543389850957898,0.922672066368241,-0.103076877292654,0.441632604994684,0.339197107977727,0.192739690929164,1.01651766604355,-0.0435532436579197,-93.9207690981015
"W1-040","GmWMC103","W1",0,65.795,0.0723876294177447,0.341692033509261,0.311673153824429,0.372486809122141,0.0114404234750934,0.905596390889366,0.0231456429066421,0.59557340438611,0.33942493879083,0.193427213136945,0.903401316094263,0.184168793569161,-8.87305283117751
"W1-041","GmJMC004","W1",0,46.805,0.0254077865418153,0.299703242469,0.296515225780369,0.371035597509847,0.00867085587609601,0.842989746606218,0.0174933944542888,0.506483593275651,0.306875875227643,0.20416227992372,0.822131287020024,0.130426229661072,-10.2683233527587
"W1-042","GmJMC158","W1",1,104.155,0.0857049768838143,0.330830606825495,0.272612981469657,0.314207465863442,-0.00431188058122664,0.749567905465686,-0.00858673617820183,0.571942872957976,0.333423252103682,0.136749078112984,0.758035050174122,0.154219075242302,-28.6404956478395
"W1-043","GmJMC077","W1",1,142.8,0.0971162361802096,0.353105430485304,0.300998920489585,0.317806832674132,0.0117556670569865,0.861225910267284,0.0237910133458146,0.620872811059918,0.367573010599772,0.160260145977869,0.876498765691966,0.143768776702701,-12.1686482861311
"W1-044","GmWMC186","W1",1,62.795,0.0629189452909502,0.259121513827269,0.231163482308145,0.227598926718674,-0.0171564791925816,0.601333253529963,-0.0337341983137155,0.425740512042071,0.286531659642957,0.10855065195236,0.612340754308059,0.101444032862946,-41.7942931147641
"W1-045","GmWMC036","W1",0,38.35,0.0634243059289814,0.407169969727029,0.410456108113456,0.357821088000862,-0.0239635819298351,1.39245311843347,-0.0468055311974703,0.74786920282111,0.438617619479166,0.235572875026559,1.4810628524104,0.0423030893221517,-69.7017588871787
"W1-046","GmWMC089","W1",0,79.34,0.0646137684334819,0.335346944808603,0.311866959126576,0.299693871572818,-0.0223837850177706,0.906414781126391,-0.0437874406190433,0.581717212558498,0.371873842843513,0.165739584971344,0.980606099329731,0.0843107108886105,-57.4780743573915
"W1-047","GmWMC120","W1",1,105.53,0.0597257909977474,0.285856402355523,0.23807040525242,0.240805178724656,-0.0197520186076019,0.624914445884704,-0.0387388664051322,0.478376842443868,0.305191325082374,0.108392703822223,0.641369127111889,0.0614460306178072,-51.2498964019184
"W1-048","GmWMC027","W1",1,81.485,0.0539046166538166,0.276789265177028,0.238462544455185,0.255481230892759,-0.0105400220488077,0.626266095564754,-0.0208601773682124,0.460290284931513,0.286751457593703,0.10453601399991,0.611552742479341,0.0606925502724318,-31.8731008673304
"W1-049","GmJMC101","W1",1,153.935,0.0937282024012114,0.399844957296165,0.360693411118566,0.392652136317074,0.0309090901703079,1.12838946881388,0.0637898670945947,0.72991937424976,0.378624625338308,0.19170259536595,1.06061221748518,0.159639535134745,7.51336423944895
"W1-050","GmJMC016","W1",0,78.495,0.0864340734005631,0.346391846610335,0.308753079350311,0.350346586285175,0.0192126439178792,0.893322111468128,0.0391780008148279,0.605932055202859,0.36544959295919,0.173830939457093,0.860835764494046,0.163512089443186,-3.79695303511132
"W1-051","GmWMC048","W1",0,182.695,0.188169578360971,0.526157543837838,0.400020124486147,0.491058382188062,0.0499252224158734,1.33344543870185,0.105097462159867,1.08097043240236,0.50767361122181,0.2330619889124,1.27355858521097,0.299651035523068,24.4872661306803
"W1-052","GmJMC097","W1",1,213.84,0.124936919441538,0.453055464378068,0.378784118680763,0.411724054300526,0.0541043463993441,1.21949272412219,0.114398132010875,0.866352741196129,0.433159264168377,0.21287211473797,1.15789616981201,0.180101728580173,29.7996860115467
"W1-053","GmWMC127","W1",1,177.72,0.171962035713331,0.493258195024507,0.370753700575495,0.467963263429373,0.0515649948158843,1.17840574629824,0.108737014402307,0.979932000631448,0.473424505568177,0.217790926730359,1.08810379046253,0.276577581017933,25.1438968395711
"W1-054","GmWMC020","W1",1,94.8,0.207398067191072,0.529077252832698,0.378076518412908,0.430414389656173,0.0360154639976474,1.21582969483027,0.0747220783167408,1.09033324260896,0.518661577290695,0.220474888772454,1.16590421558008,0.267450754559048,10.0778165461975
"W1-055","GmJMC082","W1",1,238.95,0.199854561789706,0.59405306682771,0.46742167548542,0.555795848705264,0.0819754119863862,1.75531618156429,0.178590885378705,1.31857733908391,0.550172150134193,0.305280332250736,1.59859924472174,0.320300494487771,48.8499277507435
"W1-056","GmJMC052","W1",0,70.38,0.0656458370990857,0.295182692871722,0.270018676376735,0.215998849632643,-0.0183629116721885,0.739796147483113,-0.0360635797697432,0.49724178142923,0.324340816130209,0.12498539168612,0.788992529289422,0.0228957552420376,-51.8118318218155
"W1-057","GmWMC135","W1",1,306.73,0.167505274901218,0.490539741505678,0.403564386008724,0.466293136535178,0.0603823667073238,1.35325381832288,0.128525401328895,0.971927879456854,0.473138327297994,0.246839238473723,1.28313233242605,0.270137346303614,32.360755620413
"W1-058","GmWMC029","W1",0,190.305,0.13839021148188,0.48122554906977,0.404503510937758,0.465607108665028,0.0608477017674264,1.35854205513789,0.129580052567269,0.944875058936069,0.447615362871848,0.235869743672626,1.27179116801776,0.253089877270757,34.3517178594901
"W1-059","GmJMC030","W1",0,88.935,0.102836817554066,0.413463411145632,0.36513908381342,0.374576060948805,0.0408085393375636,1.15029630753585,0.0850894550616349,0.763492114033679,0.397597145384572,0.190466717896316,1.10033208689449,0.148895580237333,15.7103853045724
"W1-060","GmJMC102","W1",0,149.28,0.0730037645301375,0.369215566766106,0.340171160405209,0.31926780945715,0.00164959905195196,1.03108927784995,0.00330464955876519,0.657437576243373,0.374665222007034,0.171527776371138,1.02703924259328,0.0782575683723364,-28.5534003189249
"W1-061","GmWMC035","W1",0,98.195,0.146498142715849,0.4782161215077,0.394788489546687,0.436456377003219,0.0486238911084206,1.30462984164235,0.10221802011989,0.936254493541093,0.445703646677582,0.219716219500651,1.21803382092101,0.248243058895188,22.6402424313296
"W1-062","GmWMC159","W1",1,124.225,0.145756590763703,0.475253654421341,0.374457901172254,0.448220998273469,0.026268482081289,1.19722700568653,0.0539542609396546,0.927824359647213,0.451690249311392,0.210771064008101,1.13920157916225,0.260358259548131,1.04456804901643
"W1-063","GmJMC076","W1",1,225.12,0.112811862685838,0.44846999863037,0.36808106201147,0.409345715193508,0.0163908032396587,1.16496290863861,0.0333278771561798,0.85401170343273,0.42907126291374,0.209646425647655,1.11952323139635,0.18212628992435,-9.7787330577664
"W1-064","GmJMC025","W1",0,148.61,0.139986395648539,0.453771425216281,0.376218505398088,0.429792910268467,0.0487510208292569,1.20625093451413,0.102498971135309,0.868290269570334,0.427276192125336,0.194766728156228,1.14614226424312,0.240059259320224,25.7831693264351
"W1-065","GmWMC150","W1",1,71.735,0.0437332425692943,0.345032103089794,0.353076959432435,0.287910056419412,-0.0434805235115875,1.09155784317921,-0.0833374893577582,0.602926671903519,0.387158811395125,0.210471526307533,1.19736731939377,0.00531114556117322,-86.5375372207649
"W1-066","GmJMC112","W1",1,206.195,0.0848380153512838,0.352037586294267,0.315273721527825,0.312931025306242,0.00202776883850188,0.92087519185416,0.00406377807956004,0.618484934461407,0.359365657382174,0.200062935654739,0.925732610774297,0.105079335064809,-19.134706941968
"W1-067","GmJMC026","W1",0,135.68,0.142997098795359,0.431328479568742,0.334088390640602,0.350185283205563,0.0048670700022671,1.003401610499,0.00978174845902879,0.808895450597492,0.428384570318249,0.179908993057105,1.00435815482537,0.162758430658577,-21.3967518769971
"W1-068","GmWMC038","W1",0,127.625,0.185963065677058,0.532053887529571,0.395512240743247,0.488919562230071,0.0606203299434628,1.30858652661246,0.129064598565173,1.09994944046662,0.498285671419826,0.234108229928041,1.18772483672198,0.292142821259023,32.2312625009065
"W1-069","GmWMC169","W1",0,133.305,0.241045397675893,0.604029891140705,0.438131600276274,0.525116690092144,0.0933344279603169,1.55955271241086,0.20588501732896,1.3575074793958,0.556727997830763,0.278736737321384,1.37712760376758,0.337881666049275,59.7175151010376
"W1-070","GmJMC007","W1",0,85.83,0.181233867341381,0.416434004627193,0.283557072694284,0.283402816262193,0.0480832548131087,0.791569190268818,0.101024076531573,0.770932232252917,0.400592914910267,0.129397522547607,0.702628273988272,0.195443114812331,26.2429288994051
"W1-071","GmJMC104","W1",1,239.56,0.208988297488244,0.49886023121632,0.349838475918466,0.38025379766724,0.0542564550595196,1.07615865584379,0.114738198002576,0.996585232276295,0.481695040770583,0.192155813699397,0.976914606490891,0.233740767057931,29.1284215292547
"W1-072","GmJMC068","W1",1,244.19,0.220885852021761,0.634103205689909,0.487483161694221,0.5921940472757,0.0995556325060846,1.90231093910736,0.221125560726139,1.48250321736386,0.576558570389891,0.297455801029685,1.68160800535044,0.337261558640321,66.0984911389814
"W1-073","GmJMC055","W1",0,119.175,0.165425363091169,0.487229593581772,0.377200250122169,0.435755299047641,0.0554246363541545,1.21130507902793,0.117353550573727,0.962248361527213,0.459808141441074,0.207053211730962,1.15001844699166,0.258086344592373,30.5716132359828
