"","variety","treatment","23","31","38","39","45","46","52","55","56"
"W1-001","GmWMC152","W1",-0.200182698594441,-0.259039719578083,-0.0275243015929231,-0.0396648906209622,-0.0142812458415966,0.0487066269284722,0.0880000309755768,0.088166918908778,0.0885198436391217
"W1-002","GmJMC008","W1",-0.168772628752883,-0.294932403852304,-0.133127697659502,-0.156644625044984,-0.147807216858708,-0.0818745992455786,-0.0964325458498237,-0.10667174334814,-0.0719829135509596
"W1-003","Tachiutaka","W1",-0.0857073169747698,-0.314979064031373,-0.0482194458634938,-0.0554679006390675,-0.100739308212849,0.00776962210299138,0.0231609256414478,0.0138578819807325,0.0566653182296985
"W1-004","GmWMC185","W1",-0.176241637296867,-0.272031986098756,-0.0356626182599348,-0.0363105909934814,-0.0350492808171297,0.0179881227419072,0.0628993685282027,0.0433578134783894,0.0646313283922886
"W1-005","GmJMC110","W1",-0.0740159676695746,-0.193327812421529,0.000871281647488474,-0.0128472121861815,-0.027369344185168,0.0378145373550977,0.0753957540238061,0.077731250057984,0.102163276879094
"W1-006","GmJMC053","W1",-0.172190714927117,-0.302894911187071,-0.0806254801818428,-0.0565794135189169,-0.0824424807181819,-0.0269334998684531,0.0100440681637884,0.0128348697362823,0.0491828138608856
"W1-007","GmWMC035","W1",-0.152353368674095,-0.274651444420488,-0.0290441808069664,-0.0405097487815789,-0.0408444136465833,0.00825749081132476,0.0249209702880749,0.0320807576358425,0.063022120592543
"W1-008","GmJMC059","W1",-0.174954984355577,-0.257440950652665,0.00530460110705586,-0.00757076450908439,-0.00384662594647406,0.0560936872836078,0.0870720495725849,0.101183559279312,0.120666971212312
"W1-009","GmWMC006","W1",-0.171165075687874,-0.272418049606406,-0.0242623698236826,-0.0326485066439668,-0.0603131858495104,0.00477851393245871,0.0126425096960535,0.000499311374173417,0.0389899101111845
"W1-010","GmJMC005","W1",-0.157218570445286,-0.273440491995201,0.0174931927047674,0.00301083364271758,-0.0482994816393544,0.0392756168129314,0.0466125238108661,0.06895525785267,0.0823969289982719
"W1-011","C1322","W1",-0.0953600956059848,-0.27928615057804,0.0043273394247397,0.0012448743121308,-0.012795837011119,0.045129995473534,0.0843652816726202,0.0934977915863623,0.113780251740072
"W1-012","GmJMC068","W1",-0.18851932153527,-0.286981384026477,-0.0274708335448835,-0.0068265750044715,-0.00214132015373419,0.0505275817014277,0.0912996790614285,0.0875197686922709,0.114123511104515
"W1-013","GmJMC017","W1",-0.121117994152423,-0.284826876263961,0.00140012205843868,-0.0102769278028249,-0.0338815520628691,0.0379639212532259,0.0837049547573611,0.0701599776587482,0.116018202229415
"W1-014","GmJMC052","W1",-0.18710378874507,-0.313990157461813,-0.0903922291111333,-0.0592830183655765,-0.0955876156034137,-0.00600267922510293,0.0493887608895997,0.0213860737117697,0.0746798482171472
"W1-015","GmWMC036","W1",-0.276173001010022,-0.352061676271446,-0.0780111462326405,-0.0610705926218405,-0.0750054295867019,0.00122959429844748,0.016549200176778,-0.0136066102196433,0.0309532468043805
"W1-016","GmJMC077","W1",-0.114000434810964,-0.244584123334812,0.0345657042569361,-0.00602157874448428,-0.0109409843739498,0.0679927948673777,0.112463368011466,0.122270281842957,0.130011088297247
"W1-017","GmWMC164","W1",-0.153295159542916,-0.263177208434206,0.0295271245193671,-0.0211597402820292,-0.0177537552832037,0.0414143754831295,0.0765977332897027,0.0869506144916352,0.0907659014660665
"W1-018","GmWMC072","W1",-0.142896965444377,-0.326445749054326,-0.0448787697270858,-0.0513222432293536,-0.0445938270181216,0.0223554762884393,0.0785796712729571,0.0636370103061923,0.118494365225668
"W1-019","GmWMC086","W1",-0.103425827769579,-0.316532657999269,-0.0311549950311107,-0.0344516225208377,-0.0631449737150141,-0.0128910349642477,-0.000736803103747163,-0.022982611649758,0.0399408593911983
"W1-020","GmJMC009","W1",-0.15533876314267,-0.269700512519813,-0.0604805239630261,-0.054722606998447,-0.0847779815238246,-0.00789930717736653,0.0176963125009899,0.0180185493367472,0.0656060673604318
"W1-021","GmWMC148","W1",-0.217077540640496,-0.326008594866749,-0.0546759143708889,-0.0415838605820367,-0.070350929122521,-0.0130971641130171,0.0386730650285878,0.056971017658611,0.0798238115916391
"W1-022","GmWMC094","W1",-0.163286762277298,-0.347126135675362,-0.0953729800422582,-0.0709749698183851,-0.132882428840956,-0.0155491265061527,0.0131024450148914,-0.0137586363853718,0.0647702086778917
"W1-023","GmWMC135","W1",-0.202317594525899,-0.215656717960072,0.00458671185644611,-0.0154284526824478,-0.0235586563105574,0.051910687827432,0.0953063294061596,0.0781096586793432,0.113558759457621
"W1-024","GmJMC025","W1",-0.127915263613731,-0.249676679262786,-0.0104016990792734,-0.0188116035688637,-0.0198806933568574,0.0382597468328179,0.0838981442499287,0.0783085183734706,0.119471747531034
"W1-025","GmJMC061","W1",-0.157566524771834,-0.24487299295847,-0.00541366122567636,-0.0125198981945654,-0.0612128442498283,0.0426379942468956,0.0891326005990638,0.0773869571217947,0.104721705204335
"W1-026","GmJMC133","W1",-0.169584311214555,-0.2903829181328,-0.0436895030700538,-0.0730308728799983,-0.0670599478599573,0.0135098799196575,0.0607759370253037,0.0192714812786099,0.0902795862368166
"W1-027","GmJMC111","W1",-0.122821075817766,-0.195538864422171,0.00155876024203683,-0.0215443398134862,-0.00764113045093171,0.053000801503032,0.10527680408959,0.108354931495718,0.138188466323693
"W1-028","GmWMC138","W1",-0.222491648780714,-0.348801560611702,-0.0175353729655219,-0.0381473793477072,-0.00552015389567572,0.0476875642688012,0.108783376664581,0.0953824608796756,0.116366727581711
"W1-029","GmJMC034","W1",-0.0721503789898619,-0.135541987038558,0.0781317211176933,0.0330572922431612,0.0679415686157528,0.0980236674121306,0.141003109809865,0.122461198727782,0.156425932038804
"W1-030","GmWMC084","W1",-0.0305854492692116,-0.293241277858998,0.00679392197960466,-0.0374364015816695,0.00112137767511214,0.0608959949766137,0.10297856920569,0.0726062471006742,0.127372391643273
"W1-031","GmWMC024","W1",-0.0673801156250836,-0.194040278522924,0.0140092182756697,-0.0326528832814398,-0.000903020990250239,0.0657189285073649,0.097076429376408,0.0903615340643454,0.122439561588748
"W1-032","GmJMC049","W1",-0.198596885666376,-0.309131907273332,-0.0479702583802695,-0.0762941464137318,-0.0338393262898793,0.0578672522887091,0.102783586816031,0.0933870118308919,0.120543478511446
"W1-033","GmWMC165","W1",-0.096427042973921,-0.21198657387936,-0.00244204502641564,-0.0343826160633414,-0.0139468683124085,0.0655727217445576,0.099232878266198,0.100600808709206,0.13075754097937
"W1-034","GmWMC176","W1",-0.0665506867323105,-0.273729277206191,-0.0185725387859695,-0.0528139556325368,-0.0177959228649006,0.0457398008296493,0.0840739081032726,0.073551895617444,0.0960157342346471
"W1-035","GmWMC189","W1",-0.149621630874155,-0.299420501724698,-0.0506822027859303,-0.119809709745579,-0.104382895493546,-0.0401488310189899,0.00855229089833043,-0.0293297186839396,0.0157376475885032
"W1-036",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"W1-037","GmWMC014","W1",-0.0277138362914997,-0.105695160599835,0.0530884782440102,0.00359872715664985,0.024027564427882,0.0853949613390853,0.118034479095298,0.107171132213821,0.109985852368539
"W1-038","GmWMC146","W1",-0.162163039320644,-0.179642751245208,0.0107384840071724,-0.0467621859264779,-0.00886431061390273,0.0530294432630993,0.0882029573395744,0.0671418517803933,0.0934530159784066
"W1-039","GmJMC099","W1",-0.0859996034022236,-0.155100052353224,-0.0103365280926406,-0.0691458642991329,-0.0167286152962418,0.0401032757681894,0.0643607638876126,0.0491419645484063,0.0792477414212353
"W1-040","GmWMC103","W1",-0.137794646938369,-0.134074579442344,0.00859247561806207,-0.0243196330090486,-0.0137457802959437,0.0479473847192381,0.0569919970275958,0.0246605603885435,0.0415022535899038
"W1-041","GmJMC013","W1",-0.193730802801722,-0.171060971428661,-0.0233771446922682,-0.0799842495138843,-0.0230287717464045,0.0150145423299243,0.0462362116681249,0.0254884140913229,0.054492111179372
"W1-042","GmWMC143","W1",-0.174721815484609,-0.108534492680752,-0.0013503758759109,-0.0376681050249418,0.0151175015975505,0.056936591007122,0.0989489452970148,0.103368685204714,0.142211517455879
"W1-043","GmJMC064","W1",-0.157437270169879,-0.107066118616986,0.0255265979901542,-0.0560669547190606,-0.0163278303822648,0.022927418232211,0.0521545937088027,0.0305862421477749,0.0328248015239117
"W1-044","GmWMC175","W1",-0.191792269667075,-0.076199366977454,0.0467367585231466,0.00378489638641574,0.0639961790823202,0.101741357873887,0.115600374729382,0.0988515526849399,0.117429067560292
"W1-045","GmWMC141","W1",-0.269087992253914,-0.112958281275052,-0.0161116688880931,-0.0430120195688739,0.0167268878890795,0.0562867921028349,0.0709865248666785,0.0743702622866472,0.0931930114028048
"W1-046","GmJMC051","W1",-0.259911180140132,-0.0384988988439043,0.0340151926281316,0.0174869851684199,0.0743340479295794,0.0984077481989094,0.120681656906261,0.116902478556999,0.121226417646096
"W1-047","GmWMC159","W1",-0.32182727237167,-0.164570574262081,-0.00943611913147607,-0.0216028189410877,0.0510333247677541,0.0420077119273793,0.0676093682088332,0.0501710461796723,0.0739887162779402
"W1-048","GmJMC101","W1",-0.234364167354404,-0.0651706738742574,0.0554067250943477,0.0373821581816491,0.108025480358384,0.0919831298711106,0.124795077992036,0.0976043815718005,0.112237857398759
"W1-049","UA-4805","W1",-0.261892038783066,-0.132435226772093,-0.0358790806273068,-0.0161646866632097,0.0582610445542579,0.0199801553974502,0.0549622481540479,0.0467893833900396,0.070493059177141
"W1-050","GmWMC147","W1",-0.218120939960229,-0.107899396152285,0.0392822382404067,0.0399545178621939,0.111199774098823,0.0838324481559566,0.0988593154894615,0.107923162290725,0.120752350835021
"W1-051","GmJMC054","W1",-0.141792889203057,-0.226715314601042,0.0304602625116839,0.0177977993965321,0.0216946315569328,0.0746869638835904,0.101954104662428,0.106758088452097,0.124186853136231
"W1-052","GmWMC125","W1",-0.142500213110459,-0.155256585930055,0.0461006992241069,0.0367288247114937,0.0265674585031739,0.0689508289788169,0.109558239830411,0.0879895450548392,0.0695292708516197
"W1-053","GmWMC155","W1",-0.126657130250922,-0.311601290311017,-0.050581306045115,-0.0684683383314425,-0.0534617839924179,0.0124845546465647,0.0665310350878209,0.063599148617993,0.070377204985342
"W1-054","GmWMC108","W1",-0.23263943594811,-0.318182050795991,-0.112189777775222,-0.125148961666934,-0.128332989443878,-0.0466897224925617,0.0231837241834978,0.0407769054042662,0.0564782933012364
