"","variety","treatment","23","31","38","39","45","46","52","55","56"
"W1-001","GmWMC152","W1",0.266555205203525,0.28175264866399,0.438128245903597,0.40622259803487,0.557868005443615,0.658320433198047,0.702778771229366,0.750449350530232,0.764207230030389
"W1-002","GmJMC008","W1",0.2621189194558,0.272728599014826,0.269709213948421,0.218159422803208,0.288951035415523,0.316532839927746,0.299589376771161,0.291776185601027,0.349330623039949
"W1-003","Tachiutaka","W1",0.226647861024658,0.269968479181228,0.403173823213347,0.347881720502687,0.372395215418784,0.490031485764308,0.493873830953353,0.539309541191756,0.616936464020003
"W1-004","GmWMC185","W1",0.234804438366064,0.303022424539799,0.434286942824932,0.459363978747417,0.565555202600002,0.628082169595263,0.666710509853495,0.699093993229355,0.732554652619307
"W1-005","GmJMC110","W1",0.29800637921889,0.404190425299479,0.594420708719795,0.60114484652466,0.679572519714173,0.703879725889068,0.724329015574119,0.745840803026985,0.751475740559556
"W1-006","GmJMC053","W1",0.213723142107949,0.22784720436261,0.330758279967557,0.345716467520745,0.383319924862572,0.422041407298948,0.499591805198556,0.538160813239599,0.627681823392087
"W1-007","GmWMC035","W1",0.245634060993387,0.315575900668413,0.506073846477074,0.49277776182782,0.53302556754112,0.598966547473449,0.588958413002259,0.613111936550929,0.676049454389681
"W1-008","GmJMC059","W1",0.237679245515195,0.325129612088116,0.545801483472012,0.543582706480128,0.660268708975601,0.688505283589838,0.717606003945946,0.755895072304795,0.763422412937328
"W1-009","GmWMC006","W1",0.227987378442344,0.235834035250706,0.424115503255785,0.387105421643787,0.39058838630257,0.498368954028233,0.485861929077809,0.538580070020144,0.624630271208251
"W1-010","GmJMC005","W1",0.313827678626219,0.347858342789971,0.544625515094019,0.497062198848888,0.502819007728663,0.598877832377357,0.629988918915857,0.692148481634732,0.712616524275643
"W1-011","C1322","W1",0.224211939828401,0.331961781085007,0.534866515874375,0.530493931468262,0.612517670854889,0.670745248798513,0.685861502515351,0.725710213839806,0.7421665931204
"W1-012","GmJMC068","W1",0.217542380233739,0.244548999990764,0.468528341257525,0.454212847557941,0.588288999895997,0.672844988362494,0.707767579436952,0.734432419523243,0.751552419655437
"W1-013","GmJMC017","W1",0.292507936286281,0.303438360858004,0.477799724193193,0.513940322708893,0.631346785400844,0.665962641598302,0.709948922763311,0.729492637528093,0.752574573236651
"W1-014","GmJMC052","W1",0.254367032241089,0.226050255728266,0.33117596080402,0.345868963787364,0.403497972913526,0.493812545562104,0.579482492372941,0.591093231514118,0.649526197523136
"W1-015","GmWMC036","W1",0.267997241286889,0.310771566472347,0.443440908171525,0.440187824192214,0.543460755228999,0.596891788228776,0.556795584294069,0.531256591410064,0.609926818199083
"W1-016","GmJMC077","W1",0.238515641416191,0.349039205446229,0.538018392796593,0.5399286990074,0.667480636668709,0.707321018933506,0.737567721237143,0.77148591299962,0.767050921994281
"W1-017","GmWMC164","W1",0.270370290802213,0.355792611882883,0.558817260852593,0.583998608372636,0.673182059410723,0.70476258604128,0.725671809913826,0.747128386189867,0.76570907472379
"W1-018","GmWMC072","W1",0.259878621868552,0.243867551929131,0.393423257417144,0.402052425157001,0.505733639326999,0.565092987666447,0.651072984731457,0.713438880011899,0.73465923709746
"W1-019","GmWMC086","W1",0.270243418007832,0.275048655548192,0.343011653481239,0.334334895363332,0.385242191832176,0.421886342211028,0.408537755455686,0.465795351091276,0.509936717120383
"W1-020","GmJMC009","W1",0.284991089633563,0.25409766938719,0.341450879501388,0.332179956620676,0.425192286778591,0.50615620797123,0.508353920581638,0.55454450261206,0.585614216839655
"W1-021","GmWMC148","W1",0.269348392005626,0.230748121038989,0.423167872559943,0.395973748082247,0.512667633368039,0.63952191237955,0.672946327152446,0.720667680716832,0.739448825796325
"W1-022","GmWMC094","W1",0.247695172475617,0.240833846466555,0.297747301962179,0.282867460362867,0.3901379341832,0.500962094288263,0.518997678472199,0.576130466496361,0.656251984572879
"W1-023","GmWMC135","W1",0.240119806396041,0.2930185877267,0.436947246309835,0.424848553850354,0.552539789956975,0.637811733556716,0.69123299136304,0.73396815785125,0.741639636365802
